category,file,title,description,new,status,link,failure_reason,andrew_id
clusters-eth,cl-gap.test.ts,CL-002: Deposit into active 7-op cluster,Deposit into active 7-op cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L103,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-003: Deposit into active 13-op cluster (max operators),Deposit into active 13-op cluster (max operators),yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L128,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-006: Non-owner deposit into liquidated cluster succeeds,Non-owner deposit into liquidated cluster succeeds,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L152,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,"CL-007: Deposit 0 ETH succeeds — event fires, balance unchanged","Deposit 0 ETH succeeds — event fires, balance unchanged",yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L192,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-010: Large deposit does not overflow on near-zero balance,Large deposit does not overflow on near-zero balance,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L211,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-012: Deposit into cluster with one removed operator succeeds,Deposit into cluster with one removed operator succeeds,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L240,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-015: Deposit to SSV-version cluster reverts IncorrectClusterVersion,Deposit to SSV-version cluster reverts IncorrectClusterVersion,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L272,,A-ACT-07; A-ACT-08; A-ACT-14; A-BOUND-11; A-CHECK-06; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-017: Deposit into migrated cluster (SSV→ETH),Deposit into migrated cluster (SSV→ETH),yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L306,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-018: Deposit into active 10-op cluster,Deposit into active 10-op cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L349,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-022: Partial withdraw from active 7-op cluster,Partial withdraw from active 7-op cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L379,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-023: Partial withdraw from active 13-op cluster,Partial withdraw from active 13-op cluster,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L413,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-030: Withdraw with explicit EB — exact boundary leaves balance == threshold,Withdraw with explicit EB — exact boundary leaves balance == threshold,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L447,,A-ACT-07; A-ACT-08; A-SETUP-08
clusters-eth,cl-gap.test.ts,CL-036: Withdraw with explicit EB (vUnits doubled) — higher threshold,Withdraw with explicit EB (vUnits doubled) — higher threshold,yes,pass,https://github.com/ssvlabs/ssv-network/blob/feat/exhaustive-scenario-coverage/test/e2e/clusters-eth/cl-gap.test.ts#L518,,A-ACT-07; A-ACT-08; A-SETUP-08
